Y,M,D,Q (cms)
2001,5,19,62.016
2001,5,20,57.485
2001,5,21,52.954
2001,5,22,50.123
2001,5,23,50.972
2001,5,24,54.37
2001,5,25,57.768
2001,5,26,59.751
2001,5,27,56.919
2001,5,28,51.539
2001,5,29,46.441
2001,5,30,41.061
2001,5,31,37.096
2001,6,1,35.397
2001,6,2,34.831
2001,6,3,33.698
2001,6,4,33.415
2001,6,5,31.15
2001,6,6,28.601
2001,6,7,26.732
2001,6,8,25.09
2001,6,9,24.523
2001,6,10,24.665
2001,6,11,24.608
2001,6,12,28.091
2001,6,13,25.741
2001,6,14,23.391
2001,6,15,21.861
2001,6,16,20.672
2001,6,17,19.964
2001,6,18,19.511
2001,6,19,19.001
2001,6,20,18.633
2001,6,21,18.52
2001,6,22,18.123
2001,6,23,17.84
2001,6,24,17.727
2001,6,25,17.132
2001,6,26,17.019
2001,6,27,16.509
2001,6,28,17.217
2001,6,29,16.283
2001,6,30,15.575
2001,7,1,15.207
2001,7,2,14.697
2001,7,3,14.272
2001,7,4,13.904
2001,7,5,13.649
2001,7,6,13.508
2001,7,7,13.366
2001,7,8,14.301
2001,7,9,14.187
2001,7,10,15.66
2001,7,11,16.453
2001,7,12,15.093
2001,7,13,14.046
2001,7,14,13.281
2001,7,15,13.649
2001,7,16,14.187
2001,7,17,13.762
2001,7,18,12.97
2001,7,19,12.686
2001,7,20,12.46
2001,7,21,12.205
2001,7,22,11.894
2001,7,23,11.667
2001,7,24,11.384
2001,7,25,10.789
2001,7,26,10.138
2001,7,27,9.94
2001,7,28,9.798
2001,7,29,9.713
2001,7,30,10.421
2001,7,31,13.423
2001,8,1,10.987
2001,8,2,9.741
2001,8,3,9.203
2001,8,4,9.062
2001,8,5,8.863
2001,8,6,8.637
2001,8,7,8.41
2001,8,8,8.241
2001,8,9,8.127
2001,8,10,8.439
2001,8,11,8.212
2001,8,12,8.014
2001,8,13,7.986
2001,8,14,7.986
2001,8,15,8.042
2001,8,16,7.901
2001,8,17,7.702
2001,8,18,7.476
2001,8,19,7.363
2001,8,20,7.363
2001,8,21,7.334
2001,8,22,7.306
2001,8,23,7.363
2001,8,24,7.391
2001,8,25,7.334
2001,8,26,7.249
2001,8,27,7.108
2001,8,28,6.995
2001,8,29,6.995
2001,8,30,7.023
2001,8,31,7.023
2001,9,1,7.023
2001,9,2,6.938
2001,9,3,6.91
2001,9,4,6.881
2001,9,5,6.995
2001,9,6,9.147
2001,9,7,10.817
2001,9,8,8.977
2001,9,9,8.495
2001,9,10,8.212
2001,9,11,8.325
2001,9,12,7.561
2001,9,13,7.844
2001,9,14,9.798
2001,9,15,8.609
2001,9,16,8.382
2001,9,17,8.58
2001,9,18,8.325
2001,9,19,7.929
2001,9,20,7.589
2001,9,21,7.504
2001,9,22,7.391
2001,9,23,7.306
2001,9,24,7.193
2001,9,25,7.136
2001,9,26,7.334
2001,9,27,7.334
2001,9,28,7.193
2001,9,29,7.136
2001,9,30,7.136
2001,10,1,7.164
2001,10,2,7.079
2001,10,3,7.079
2001,10,4,7.023
2001,10,5,7.023
2001,10,6,7.108
2001,10,7,7.164
2001,10,8,7.051
2001,10,9,7.164
2001,10,10,7.334
2001,10,11,9.118
2001,10,12,9.713
2001,10,13,8.552
2001,10,14,9.232
2001,10,15,8.722
2001,10,16,8.41
2001,10,17,8.325
2001,10,18,8.58
2001,10,19,8.297
2001,10,20,8.212
2001,10,21,8.099
2001,10,22,8.156
2001,10,23,12.092
2001,10,24,12.092
2001,10,25,9.94
2001,10,26,9.543
2001,10,27,9.458
2001,10,28,9.345
2001,10,29,10.194
2001,10,30,10.534
2001,10,31,15.15
2001,11,1,17.331
2001,11,2,14.669
2001,11,3,13.253
2001,11,4,12.488
2001,11,5,11.695
2001,11,6,11.384
2001,11,7,11.044
2001,11,8,10.534
2001,11,9,9.855
2001,11,10,10.081
2001,11,11,10.053
2001,11,12,9.996
2001,11,13,9.911
2001,11,14,9.798
2001,11,15,9.656
2001,11,16,9.515
2001,11,17,9.543
2001,11,18,10.421
2001,11,19,9.713
2001,11,20,9.543
2001,11,21,11.186
2001,11,22,13.309
2001,11,23,13.026
2001,11,24,10.959
2001,11,25,10.676
2001,11,26,10.761
2001,11,27,8.779
2001,11,28,6.655
2001,11,29,10.563
2001,11,30,11.865
2001,12,1,10.789
2001,12,2,11.327
2001,12,3,11.865
2001,12,4,11.016
2001,12,5,11.044
2001,12,6,11.412
2001,12,7,11.186
2001,12,8,9.883
2001,12,9,10.421
2001,12,10,11.044
2001,12,11,10.194
2001,12,12,10.393
2001,12,13,11.554
2001,12,14,11.497
2001,12,15,10.393
2001,12,16,10.308
2001,12,17,12.488
2001,12,18,11.072
2001,12,19,11.497
2001,12,20,12.318
2001,12,21,11.78
2001,12,22,9.033
2001,12,23,7.306
2001,12,24,6.626
2001,12,25,6.003
2001,12,26,6.796
2001,12,27,7.929
2001,12,28,9.062
2001,12,29,10.761
2001,12,30,10.761
2001,12,31,10.761
2002,1,1,11.894
2002,1,2,11.327
2002,1,3,11.894
2002,1,4,10.761
2002,1,5,9.288
2002,1,6,10.931
2002,1,7,13.055
2002,1,8,13.253
2002,1,9,13.168
2002,1,10,11.752
2002,1,11,11.78
2002,1,12,12.46
2002,1,13,11.582
2002,1,14,10.591
2002,1,15,11.271
2002,1,16,8.694
2002,1,17,9.09
2002,1,18,9.628
2002,1,19,10.194
2002,1,20,11.101
2002,1,21,11.497
2002,1,22,10.619
2002,1,23,10.648
2002,1,24,10.732
2002,1,25,10.931
2002,1,26,11.242
2002,1,27,11.101
2002,1,28,8.354
2002,1,29,6.003
2002,1,30,8.524
2002,1,31,11.809
2002,2,1,12.375
2002,2,2,11.384
2002,2,3,9.94
2002,2,4,9.515
2002,2,5,9.175
2002,2,6,9.515
2002,2,7,12.856
2002,2,8,12.035
2002,2,9,10.534
2002,2,10,9.43
2002,2,11,10.761
2002,2,12,10.591
2002,2,13,10.279
2002,2,14,11.157
2002,2,15,10.449
2002,2,16,10.987
2002,2,17,12.347
2002,2,18,12.828
2002,2,19,13.281
2002,2,20,13.479
2002,2,21,12.913
2002,2,22,13.309
2002,2,23,15.207
2002,2,24,16.764
2002,2,25,14.669
2002,2,26,12.771
2002,2,27,13.479
2002,2,28,14.839
2002,3,1,13.026
2002,3,2,11.922
2002,3,3,11.752
2002,3,4,12.743
2002,3,5,13.847
2002,3,6,14.527
2002,3,7,16.056
2002,3,8,14.81
2002,3,9,13.904
2002,3,10,15.178
2002,3,11,14.555
2002,3,12,17.869
2002,3,13,20.927
2002,3,14,18.18
2002,3,15,17.019
2002,3,16,16.793
2002,3,17,15.547
2002,3,18,15.348
2002,3,19,15.093
2002,3,20,14.867
2002,3,21,15.377
2002,3,22,18.322
2002,3,23,25.061
2002,3,24,27.27
2002,3,25,29.167
2002,3,26,31.999
2002,3,27,33.698
2002,3,28,34.265
2002,3,29,34.265
2002,3,30,37.663
2002,3,31,45.309
2002,4,1,52.388
2002,4,2,59.184
2002,4,3,54.37
2002,4,4,57.768
2002,4,5,65.697
2002,4,6,78.441
2002,4,7,88.069
2002,4,8,75.326
2002,4,9,74.759
2002,4,10,74.193
2002,4,11,72.777
2002,4,12,71.644
2002,4,13,84.387
2002,4,14,152.917
2002,4,15,201.057
2002,4,16,125.165
2002,4,17,98.263
2002,4,18,79.007
2002,4,19,67.963
2002,4,20,62.583
2002,4,21,58.901
2002,4,22,56.919
2002,4,23,62.016
2002,4,24,59.468
2002,4,25,59.751
2002,4,26,63.715
2002,4,27,64.565
2002,4,28,64.848
2002,4,29,66.83
2002,4,30,76.175
2002,5,1,83.255
2002,5,2,89.484
2002,5,3,93.732
2002,5,4,91.184
2002,5,5,88.635
2002,5,6,82.122
2002,5,7,77.308
2002,5,8,70.512
2002,5,9,65.131
2002,5,10,60.6
2002,5,11,58.335
2002,5,12,60.034
2002,5,13,67.68
2002,5,14,80.706
2002,5,15,93.166
2002,5,16,91.75
2002,5,17,92.033
2002,5,18,97.13
2002,5,19,119.785
2002,5,20,151.501
2002,5,21,131.678
2002,5,22,107.608
2002,5,23,88.918
2002,5,24,77.025
2002,5,25,70.228
2002,5,26,68.529
2002,5,27,72.777
2002,5,28,85.803
2002,5,29,101.095
2002,5,30,122.333
2002,5,31,150.085
2002,6,1,144.704
2002,6,2,127.997
2002,6,3,109.59
2002,6,4,96.847
2002,6,5,88.352
2002,6,6,89.484
2002,6,7,86.653
2002,6,8,79.29
2002,6,9,69.662
2002,6,10,62.299
2002,6,11,55.786
2002,6,12,51.539
2002,6,13,50.406
2002,6,14,53.521
2002,6,15,60.317
2002,6,16,66.264
2002,6,17,67.397
2002,6,18,66.547
2002,6,19,62.016
2002,6,20,53.804
2002,6,21,50.123
2002,6,22,55.22
2002,6,23,53.804
2002,6,24,49.273
2002,6,25,47.857
2002,6,26,45.875
2002,6,27,43.043
2002,6,28,39.645
2002,6,29,37.096
2002,6,30,33.981
2002,7,1,30.866
2002,7,2,28.29
2002,7,3,25.996
2002,7,4,24.495
2002,7,5,23.277
2002,7,6,22.06
2002,7,7,21.21
2002,7,8,20.417
2002,7,9,19.228
2002,7,10,18.35
2002,7,11,17.557
2002,7,12,17.076
2002,7,13,16.651
2002,7,14,16.453
2002,7,15,16.538
2002,7,16,16.424
2002,7,17,16.311
2002,7,18,15.943
2002,7,19,16.934
2002,7,20,16.793
2002,7,21,15.83
2002,7,22,15.15
2002,7,23,15.008
2002,7,24,14.159
2002,7,25,13.706
2002,7,26,13.423
2002,7,27,13.224
2002,7,28,12.998
2002,7,29,12.828
2002,7,30,12.573
2002,7,31,12.347
2002,8,1,12.092
2002,8,2,11.978
2002,8,3,11.809
2002,8,4,11.978
2002,8,5,11.724
2002,8,6,11.582
2002,8,7,11.384
2002,8,8,11.412
2002,8,9,11.327
2002,8,10,11.101
2002,8,11,10.789
2002,8,12,10.478
2002,8,13,10.279
2002,8,14,10.109
2002,8,15,9.94
2002,8,16,9.798
2002,8,17,9.656
2002,8,18,9.6
2002,8,19,9.6
2002,8,20,9.515
2002,8,21,9.515
2002,8,22,9.826
2002,8,23,9.741
2002,8,24,9.826
2002,8,25,9.713
2002,8,26,9.628
2002,8,27,10.279
2002,8,28,10.619
2002,8,29,10.138
2002,8,30,9.996
2002,8,31,10.081
2002,9,1,9.543
2002,9,2,9.345
2002,9,3,9.203
2002,9,4,8.977
2002,9,5,9.203
2002,9,6,9.317
2002,9,7,10.223
2002,9,8,10.478
2002,9,9,9.77
2002,9,10,9.515
2002,9,11,9.26
2002,9,12,9.062
2002,9,13,8.892
2002,9,14,8.75
2002,9,15,8.665
2002,9,16,8.552
2002,9,17,8.92
2002,9,18,10.308
2002,9,19,9.741
2002,9,20,9.288
2002,9,21,9.09
2002,9,22,9.062
2002,9,23,8.977
2002,9,24,8.892
2002,9,25,8.807
2002,9,26,8.779
2002,9,27,8.835
2002,9,28,9.005
2002,9,29,9.062
2002,9,30,9.288
2002,10,1,9.486
2002,10,2,9.458
2002,10,3,9.43
2002,10,4,9.43
2002,10,5,9.345
2002,10,6,9.232
2002,10,7,9.203
2002,10,8,9.147
2002,10,9,9.118
2002,10,10,9.118
2002,10,11,9.09
2002,10,12,9.062
2002,10,13,9.09
2002,10,14,9.175
2002,10,15,9.203
2002,10,16,9.203
2002,10,17,9.175
2002,10,18,9.118
2002,10,19,9.062
2002,10,20,9.033
2002,10,21,9.005
2002,10,22,8.892
2002,10,23,10.591
2002,10,24,10.393
2002,10,25,9.571
2002,10,26,9.232
2002,10,27,9.09
2002,10,28,9.26
2002,10,29,9.232
2002,10,30,9.798
2002,10,31,8.665
2002,11,1,6.796
2002,11,2,6.711
2002,11,3,7.844
2002,11,4,8.948
2002,11,5,9.571
2002,11,6,10.421
2002,11,7,10.591
2002,11,8,12.545
2002,11,9,12.686
2002,11,10,11.78
2002,11,11,10.817
2002,11,12,10.251
2002,11,13,10.279
2002,11,14,10.364
2002,11,15,9.798
2002,11,16,9.685
2002,11,17,9.911
2002,11,18,9.543
2002,11,19,9.571
2002,11,20,9.656
2002,11,21,9.911
2002,11,22,10.591
2002,11,23,10.817
2002,11,24,11.016
2002,11,25,9.826
2002,11,26,8.241
2002,11,27,8.807
2002,11,28,9.373
2002,11,29,9.571
2002,11,30,9.656
2002,12,1,9.741
2002,12,2,9.232
2002,12,3,8.892
2002,12,4,9.373
2002,12,5,10.025
2002,12,6,9.203
2002,12,7,8.382
2002,12,8,6.372
2002,12,9,6.202
2002,12,10,9.175
2002,12,11,10.619
2002,12,12,10.902
2002,12,13,10.478
2002,12,14,11.922
2002,12,15,13.621
2002,12,16,12.432
2002,12,17,11.78
2002,12,18,9.94
2002,12,19,9.09
2002,12,20,9.402
2002,12,21,10.648
2002,12,22,10.336
2002,12,23,9.232
2002,12,24,7.476
2002,12,25,7.363
2002,12,26,7.929
2002,12,27,10.761
2002,12,28,13.536
2002,12,29,14.414
2002,12,30,12.233
2002,12,31,12.403
2003,1,1,11.582
2003,1,2,10.959
2003,1,3,11.271
2003,1,4,11.667
2003,1,5,12.063
2003,1,6,10.959
2003,1,7,9.373
2003,1,8,8.835
2003,1,9,9.033
2003,1,10,10.761
2003,1,11,11.894
2003,1,12,12.318
2003,1,13,12.148
2003,1,14,14.017
2003,1,15,16.226
2003,1,16,13.762
2003,1,17,12.686
2003,1,18,11.129
2003,1,19,10.563
2003,1,20,11.157
2003,1,21,12.46
2003,1,22,12.941
2003,1,23,14.697
2003,1,24,15.433
2003,1,25,14.244
2003,1,26,14.159
2003,1,27,30.866
2003,1,28,41.344
2003,1,29,26.307
2003,1,30,26.732
2003,1,31,46.158
2003,2,1,49.839
2003,2,2,42.477
2003,2,3,32.282
2003,2,4,26.732
2003,2,5,20.219
2003,2,6,18.463
2003,2,7,16.339
2003,2,8,17.67
2003,2,9,15.971
2003,2,10,16.339
2003,2,11,14.924
2003,2,12,14.357
2003,2,13,15.575
2003,2,14,16.368
2003,2,15,15.235
2003,2,16,15.547
2003,2,17,15.716
2003,2,18,14.867
2003,2,19,14.046
2003,2,20,14.272
2003,2,21,14.074
2003,2,22,14.159
2003,2,23,13.621
2003,2,24,11.95
2003,2,25,11.554
2003,2,26,12.517
2003,2,27,13.423
2003,2,28,12.885
2003,3,1,12.941
2003,3,2,12.092
2003,3,3,12.941
2003,3,4,12.233
2003,3,5,12.035
2003,3,6,12.545
2003,3,7,12.658
2003,3,8,12.262
2003,3,9,12.885
2003,3,10,13.847
2003,3,11,15.235
2003,3,12,15.518
2003,3,13,18.237
2003,3,14,25.769
2003,3,15,34.831
2003,3,16,38.512
2003,3,17,35.397
2003,3,18,31.999
2003,3,19,30.3
2003,3,20,31.433
2003,3,21,29.451
2003,3,22,29.734
2003,3,23,57.202
2003,3,24,51.822
2003,3,25,45.875
2003,3,26,47.574
2003,3,27,44.742
2003,3,28,38.795
2003,3,29,35.964
2003,3,30,34.831
2003,3,31,35.964
2003,4,1,42.194
2003,4,2,45.875
2003,4,3,41.91
2003,4,4,38.229
2003,4,5,35.681
2003,4,6,33.415
2003,4,7,30.3
2003,4,8,29.451
2003,4,9,32.566
2003,4,10,42.194
2003,4,11,57.202
2003,4,12,73.91
2003,4,13,75.042
2003,4,14,74.476
2003,4,15,65.981
2003,4,16,59.751
2003,4,17,55.22
2003,4,18,53.521
2003,4,19,50.972
2003,4,20,54.087
2003,4,21,59.468
2003,4,22,66.83
2003,4,23,76.458
2003,4,24,74.476
2003,4,25,81.272
2003,4,26,74.759
2003,4,27,66.547
2003,4,28,61.167
2003,4,29,58.335
2003,4,30,58.052
2003,5,1,57.202
2003,5,2,57.768
2003,5,3,62.583
2003,5,4,76.741
2003,5,5,81.272
2003,5,6,76.175
2003,5,7,70.228
2003,5,8,65.981
2003,5,9,62.866
2003,5,10,59.184
2003,5,11,60.317
2003,5,12,60.6
2003,5,13,64.282
2003,5,14,69.662
2003,5,15,83.538
2003,5,16,100.245
2003,5,17,97.98
2003,5,18,91.467
2003,5,19,80.989
2003,5,20,77.025
2003,5,21,78.724
2003,5,22,92.883
2003,5,23,120.917
2003,5,24,163.961
2003,5,25,185.482
2003,5,26,188.314
2003,5,27,181.518
2003,5,28,189.73
2003,5,29,227.393
2003,5,30,240.985
2003,5,31,220.879
2003,6,1,175.288
2003,6,2,151.217
2003,6,3,141.589
2003,6,4,129.413
2003,6,5,120.351
2003,6,6,118.652
2003,6,7,122.05
2003,6,8,121.767
2003,6,9,124.882
2003,6,10,118.935
2003,6,11,107.608
2003,6,12,97.98
2003,6,13,90.334
2003,6,14,88.635
2003,6,15,89.768
2003,6,16,80.423
2003,6,17,83.821
2003,6,18,87.785
2003,6,19,85.803
2003,6,20,82.688
2003,6,21,72.211
2003,6,22,60.317
2003,6,23,52.954
2003,6,24,48.14
2003,6,25,44.742
2003,6,26,43.893
2003,6,27,44.742
2003,6,28,46.441
2003,6,29,46.158
2003,6,30,45.875
2003,7,1,43.326
2003,7,2,40.495
2003,7,3,37.663
2003,7,4,35.114
2003,7,5,32.849
2003,7,6,31.15
2003,7,7,29.451
2003,7,8,27.808
2003,7,9,26.449
2003,7,10,24.523
2003,7,11,22.966
2003,7,12,21.918
2003,7,13,20.955
2003,7,14,20.191
2003,7,15,19.341
2003,7,16,18.407
2003,7,17,17.784
2003,7,18,17.585
2003,7,19,17.019
2003,7,20,16.708
2003,7,21,16.141
2003,7,22,15.688
2003,7,23,15.405
2003,7,24,15.292
2003,7,25,15.462
2003,7,26,15.518
2003,7,27,16.793
2003,7,28,15.518
2003,7,29,14.555
2003,7,30,13.876
2003,7,31,13.366
2003,8,1,13.026
2003,8,2,12.97
2003,8,3,13.734
2003,8,4,15.235
2003,8,5,14.074
2003,8,6,13.253
2003,8,7,12.8
2003,8,8,12.46
2003,8,9,12.177
2003,8,10,11.809
2003,8,11,11.554
2003,8,12,11.384
2003,8,13,11.327
2003,8,14,11.157
2003,8,15,10.874
2003,8,16,11.186
2003,8,17,10.789
2003,8,18,10.704
2003,8,19,10.563
2003,8,20,10.336
2003,8,21,10.194
2003,8,22,11.299
2003,8,23,16.481
2003,8,24,12.63
2003,8,25,11.469
2003,8,26,10.987
2003,8,27,11.101
2003,8,28,10.987
2003,8,29,10.648
2003,8,30,10.648
2003,8,31,10.364
2003,9,1,10.194
2003,9,2,10.053
2003,9,3,9.883
2003,9,4,9.713
2003,9,5,9.685
2003,9,6,9.741
2003,9,7,10.251
2003,9,8,10.506
2003,9,9,10.902
2003,9,10,10.902
2003,9,11,10.704
2003,9,12,10.393
2003,9,13,9.996
2003,9,14,10.025
2003,9,15,9.94
2003,9,16,10.025
2003,9,17,9.911
2003,9,18,10.081
2003,9,19,10.053
2003,9,20,9.855
2003,9,21,9.685
2003,9,22,9.571
2003,9,23,9.458
2003,9,24,9.317
2003,9,25,9.26
2003,9,26,9.203
2003,9,27,9.175
2003,9,28,9.147
2003,9,29,9.118
2003,9,30,9.062
2003,10,1,8.863
2003,10,2,8.948
2003,10,3,9.6
2003,10,4,9.26
2003,10,5,9.062
2003,10,6,9.005
2003,10,7,9.005
2003,10,8,8.948
2003,10,9,8.892
2003,10,10,8.892
2003,10,11,9.062
2003,10,12,9.203
2003,10,13,9.288
2003,10,14,9.232
2003,10,15,9.175
2003,10,16,10.704
2003,10,17,10.166
2003,10,18,9.685
2003,10,19,9.26
2003,10,20,9.09
2003,10,21,9.033
2003,10,22,8.977
2003,10,23,8.92
2003,10,24,8.835
2003,10,25,8.892
2003,10,26,8.948
2003,10,27,9.005
2003,10,28,9.005
2003,10,29,9.062
2003,10,30,9.232
2003,10,31,9.033
2003,11,1,8.382
2003,11,2,7.844
2003,11,3,9.77
2003,11,4,9.317
2003,11,5,7.448
2003,11,6,7.731
2003,11,7,7.646
2003,11,8,9.373
2003,11,9,10.364
2003,11,10,10.336
2003,11,11,10.506
2003,11,12,9.855
2003,11,13,8.835
2003,11,14,8.722
2003,11,15,9.288
2003,11,16,10.081
2003,11,17,10.676
2003,11,18,9.883
2003,11,19,9.713
2003,11,20,9.968
2003,11,21,9.062
2003,11,22,7.136
2003,11,23,5.182
2003,11,24,8.779
2003,11,25,9.147
2003,11,26,10.081
2003,11,27,9.26
2003,11,28,8.835
2003,11,29,10.449
2003,11,30,11.101
2003,12,1,10.619
2003,12,2,10.223
2003,12,3,9.94
2003,12,4,9.77
2003,12,5,9.515
2003,12,6,11.978
2003,12,7,16.877
2003,12,8,13.055
2003,12,9,10.563
2003,12,10,10.704
2003,12,11,10.563
2003,12,12,9.826
2003,12,13,10.874
2003,12,14,11.497
2003,12,15,10.789
2003,12,16,8.325
2003,12,17,9.713
2003,12,18,8.779
2003,12,19,7.787
2003,12,20,10.194
2003,12,21,11.837
2003,12,22,9.571
2003,12,23,7.193
2003,12,24,10.817
2003,12,25,10.959
2003,12,26,9.486
2003,12,27,8.184
2003,12,28,7.533
2003,12,29,9.232
2003,12,30,9.996
2003,12,31,10.336
2004,1,1,10.761
2004,1,2,10.081
2004,1,3,9.656
2004,1,4,8.495
2004,1,5,7.929
2004,1,6,8.212
2004,1,7,10.761
2004,1,8,11.894
2004,1,9,11.327
2004,1,10,10.648
2004,1,11,9.911
2004,1,12,9.345
2004,1,13,9.062
2004,1,14,9.062
2004,1,15,8.495
2004,1,16,9.062
2004,1,17,9.062
2004,1,18,8.495
2004,1,19,9.345
2004,1,20,9.345
2004,1,21,8.212
2004,1,22,8.212
2004,1,23,8.495
2004,1,24,9.628
2004,1,25,9.911
2004,1,26,10.364
2004,1,27,10.279
2004,1,28,10.364
2004,1,29,10.676
2004,1,30,10.987
2004,1,31,10.761
2004,2,1,10.166
2004,2,2,9.345
2004,2,3,10.506
2004,2,4,10.648
2004,2,5,10.138
2004,2,6,9.005
2004,2,7,10.364
2004,2,8,10.393
2004,2,9,9.288
2004,2,10,8.297
2004,2,11,9.203
2004,2,12,7.957
2004,2,13,7.844
2004,2,14,10.109
2004,2,15,11.016
2004,2,16,10.591
2004,2,17,11.695
2004,2,18,13.847
2004,2,19,16.538
2004,2,20,15.83
2004,2,21,14.81
2004,2,22,14.555
2004,2,23,15.122
2004,2,24,15.518
2004,2,25,15.093
2004,2,26,15.433
2004,2,27,14.98
2004,2,28,14.952
2004,2,29,15.178
2004,3,1,15.348
2004,3,2,15.348
2004,3,3,14.555
2004,3,4,14.555
2004,3,5,13.904
2004,3,6,13.904
2004,3,7,13.139
2004,3,8,13.649
2004,3,9,16.793
2004,3,10,23.73
2004,3,11,28.601
2004,3,12,30.866
2004,3,13,34.548
2004,3,14,35.114
2004,3,15,31.999
2004,3,16,31.999
2004,3,17,34.831
2004,3,18,40.211
2004,3,19,44.176
2004,3,20,45.309
2004,3,21,46.158
2004,3,22,54.37
2004,3,23,62.583
2004,3,24,70.795
2004,3,25,62.016
2004,3,26,62.299
2004,3,27,52.954
2004,3,28,44.742
2004,3,29,40.495
2004,3,30,41.91
2004,3,31,48.99
2004,4,1,49.556
2004,4,2,47.291
2004,4,3,51.822
2004,4,4,65.697
2004,4,5,76.458
2004,4,6,84.67
2004,4,7,87.502
2004,4,8,86.086
2004,4,9,84.104
2004,4,10,75.326
2004,4,11,68.812
2004,4,12,65.981
2004,4,13,67.113
