USGS,13141500,CAMAS,CREEK,NR,BLAINE,ID
13141500,12/31/69,23,1969,12,31,0.651311231
13141500,1/1/70,21,1970,1,1,0.594675472
13141500,1/2/70,21,1970,1,2,0.594675472
13141500,1/3/70,22,1970,1,3,0.622993352
13141500,1/4/70,21,1970,1,4,0.594675472
13141500,1/5/70,20,1970,1,5,0.566357592
13141500,1/6/70,19,1970,1,6,0.538039713
13141500,1/7/70,17,1970,1,7,0.481403953
13141500,1/8/70,18,1970,1,8,0.509721833
13141500,1/9/70,20,1970,1,9,0.566357592
13141500,1/10/70,21,1970,1,10,0.594675472
13141500,1/11/70,23,1970,1,11,0.651311231
13141500,1/12/70,23,1970,1,12,0.651311231
13141500,1/13/70,23,1970,1,13,0.651311231
13141500,1/14/70,23,1970,1,14,0.651311231
13141500,1/15/70,24,1970,1,15,0.679629111
13141500,1/16/70,24,1970,1,16,0.679629111
13141500,1/17/70,24,1970,1,17,0.679629111
13141500,1/18/70,23,1970,1,18,0.651311231
13141500,1/19/70,23,1970,1,19,0.651311231
13141500,1/20/70,25,1970,1,20,0.70794699
13141500,1/21/70,26,1970,1,21,0.73626487
13141500,1/22/70,30,1970,1,22,0.849536388
13141500,1/23/70,35,1970,1,23,0.991125787
13141500,1/24/70,36,1970,1,24,1.019443666
13141500,1/25/70,33,1970,1,25,0.934490027
13141500,1/26/70,32,1970,1,26,0.906172148
13141500,1/27/70,33,1970,1,27,0.934490027
13141500,1/28/70,35,1970,1,28,0.991125787
13141500,1/29/70,34,1970,1,29,0.962807907
13141500,1/30/70,33,1970,1,30,0.934490027
13141500,1/31/70,32,1970,1,31,0.906172148
13141500,2/1/70,31,1970,2,1,0.877854268
13141500,2/2/70,30,1970,2,2,0.849536388
13141500,2/3/70,30,1970,2,3,0.849536388
13141500,2/4/70,30,1970,2,4,0.849536388
13141500,2/5/70,29,1970,2,5,0.821218509
13141500,2/6/70,29,1970,2,6,0.821218509
13141500,2/7/70,28,1970,2,7,0.792900629
13141500,2/8/70,28,1970,2,8,0.792900629
13141500,2/9/70,32,1970,2,9,0.906172148
13141500,2/10/70,35,1970,2,10,0.991125787
13141500,2/11/70,35,1970,2,11,0.991125787
13141500,2/12/70,34,1970,2,12,0.962807907
13141500,2/13/70,35,1970,2,13,0.991125787
13141500,2/14/70,36,1970,2,14,1.019443666
13141500,2/15/70,37,1970,2,15,1.047761546
13141500,2/16/70,37,1970,2,16,1.047761546
13141500,2/17/70,41,1970,2,17,1.161033064
13141500,2/18/70,42,1970,2,18,1.189350944
13141500,2/19/70,41,1970,2,19,1.161033064
13141500,2/20/70,42,1970,2,20,1.189350944
13141500,2/21/70,43,1970,2,21,1.217668823
13141500,2/22/70,43,1970,2,22,1.217668823
13141500,2/23/70,45,1970,2,23,1.274304583
13141500,2/24/70,45,1970,2,24,1.274304583
13141500,2/25/70,43,1970,2,25,1.217668823
13141500,2/26/70,45,1970,2,26,1.274304583
13141500,2/27/70,47,1970,2,27,1.330940342
13141500,2/28/70,50,1970,2,28,1.415893981
13141500,3/1/70,55,1970,3,1,1.557483379
13141500,3/2/70,60,1970,3,2,1.699072777
13141500,3/3/70,63,1970,3,3,1.784026416
13141500,3/4/70,73,1970,3,4,2.067205212
13141500,3/5/70,72,1970,3,5,2.038887332
13141500,3/6/70,74,1970,3,6,2.095523092
13141500,3/7/70,82,1970,3,7,2.322066128
13141500,3/8/70,81,1970,3,8,2.293748249
13141500,3/9/70,85,1970,3,9,2.407019767
13141500,3/10/70,87,1970,3,10,2.463655527
13141500,3/11/70,97,1970,3,11,2.746834323
13141500,3/12/70,102,1970,3,12,2.888423721
13141500,3/13/70,106,1970,3,13,3.001695239
13141500,3/14/70,115,1970,3,14,3.256556156
13141500,3/15/70,134,1970,3,15,3.794595869
13141500,3/16/70,163,1970,3,16,4.615814377
13141500,3/17/70,191,1970,3,17,5.408715007
13141500,3/18/70,196,1970,3,18,5.550304405
13141500,3/19/70,196,1970,3,19,5.550304405
13141500,3/20/70,196,1970,3,20,5.550304405
13141500,3/21/70,220,1970,3,21,6.229933515
13141500,3/22/70,250,1970,3,22,7.079469904
13141500,3/23/70,269,1970,3,23,7.617509617
13141500,3/24/70,333,1970,3,24,9.429853912
13141500,3/25/70,457,1970,3,25,12.94127098
13141500,3/26/70,540,1970,3,26,15.29165499
13141500,3/27/70,497,1970,3,27,14.07398617
13141500,3/28/70,585,1970,3,28,16.56595958
13141500,3/29/70,704,1970,3,29,19.93578725
13141500,3/30/70,684,1970,3,30,19.36942966
13141500,3/31/70,872,1970,3,31,24.69319102
13141500,4/1/70,988,1970,4,1,27.97806506
13141500,4/2/70,1030,1970,4,2,29.167416
13141500,4/3/70,1150,1970,4,3,32.56556156
13141500,4/4/70,1480,1970,4,4,41.91046183
13141500,4/5/70,1740,1970,4,5,49.27311053
13141500,4/6/70,1930,1970,4,6,54.65350766
13141500,4/7/70,2020,1970,4,7,57.20211682
13141500,4/8/70,1820,1970,4,8,51.5385409
13141500,4/9/70,1540,1970,4,9,43.60953461
13141500,4/10/70,1560,1970,4,10,44.1758922
13141500,4/11/70,1690,1970,4,11,47.85721655
13141500,4/12/70,1460,1970,4,12,41.34410424
13141500,4/13/70,1050,1970,4,13,29.7337736
13141500,4/14/70,900,1970,4,14,25.48609165
13141500,4/15/70,892,1970,4,15,25.25954862
13141500,4/16/70,1190,1970,4,16,33.69827674
13141500,4/17/70,1120,1970,4,17,31.71602517
13141500,4/18/70,940,1970,4,18,26.61880684
13141500,4/19/70,764,1970,4,19,21.63486003
13141500,4/20/70,700,1970,4,20,19.82251573
13141500,4/21/70,610,1970,4,21,17.27390657
13141500,4/22/70,536,1970,4,22,15.17838347
13141500,4/23/70,477,1970,4,23,13.50762858
13141500,4/24/70,431,1970,4,24,12.20500611
13141500,4/25/70,405,1970,4,25,11.46874124
13141500,4/26/70,427,1970,4,26,12.0917346
13141500,4/27/70,485,1970,4,27,13.73417161
13141500,4/28/70,525,1970,4,28,14.8668868
13141500,4/29/70,503,1970,4,29,14.24389345
13141500,4/30/70,445,1970,4,30,12.60145643
13141500,5/1/70,413,1970,5,1,11.69528428
13141500,5/2/70,402,1970,5,2,11.38378761
13141500,5/3/70,423,1970,5,3,11.97846308
13141500,5/4/70,492,1970,5,4,13.93239677
13141500,5/5/70,566,1970,5,5,16.02791986
13141500,5/6/70,628,1970,5,6,17.7836284
13141500,5/7/70,666,1970,5,7,18.85970782
13141500,5/8/70,640,1970,5,8,18.12344295
13141500,5/9/70,595,1970,5,9,16.84913837
13141500,5/10/70,580,1970,5,10,16.42437018
13141500,5/11/70,577,1970,5,11,16.33941654
13141500,5/12/70,540,1970,5,12,15.29165499
13141500,5/13/70,490,1970,5,13,13.87576101
13141500,5/14/70,400,1970,5,14,11.32715185
13141500,5/15/70,340,1970,5,15,9.628079069
13141500,5/16/70,310,1970,5,16,8.778542681
13141500,5/17/70,340,1970,5,17,9.628079069
13141500,5/18/70,400,1970,5,18,11.32715185
13141500,5/19/70,450,1970,5,19,12.74304583
13141500,5/20/70,500,1970,5,20,14.15893981
13141500,5/21/70,540,1970,5,21,15.29165499
13141500,5/22/70,540,1970,5,22,15.29165499
13141500,5/23/70,520,1970,5,23,14.7252974
13141500,5/24/70,500,1970,5,24,14.15893981
13141500,5/25/70,470,1970,5,25,13.30940342
13141500,5/26/70,450,1970,5,26,12.74304583
13141500,5/27/70,460,1970,5,27,13.02622462
13141500,5/28/70,420,1970,5,28,11.89350944
13141500,5/29/70,360,1970,5,29,10.19443666
13141500,5/30/70,330,1970,5,30,9.344900273
13141500,5/31/70,310,1970,5,31,8.778542681
13141500,6/1/70,300,1970,6,1,8.495363885
13141500,6/2/70,290,1970,6,2,8.212185089
13141500,6/3/70,274,1970,6,3,7.759099015
13141500,6/4/70,252,1970,6,4,7.136105663
13141500,6/5/70,246,1970,6,5,6.966198385
13141500,6/6/70,236,1970,6,6,6.683019589
13141500,6/7/70,218,1970,6,7,6.173297756
13141500,6/8/70,260,1970,6,8,7.3626487
13141500,6/9/70,300,1970,6,9,8.495363885
13141500,6/10/70,330,1970,6,10,9.344900273
13141500,6/11/70,280,1970,6,11,7.929006292
13141500,6/12/70,230,1970,6,12,6.513112312
13141500,6/13/70,192,1970,6,13,5.437032886
13141500,6/14/70,252,1970,6,14,7.136105663
13141500,6/15/70,294,1970,6,15,8.325456607
13141500,6/16/70,304,1970,6,16,8.608635403
13141500,6/17/70,258,1970,6,17,7.306012941
13141500,6/18/70,227,1970,6,18,6.428158673
13141500,6/19/70,204,1970,6,19,5.776847442
13141500,6/20/70,192,1970,6,20,5.437032886
13141500,6/21/70,187,1970,6,21,5.295443488
13141500,6/22/70,182,1970,6,22,5.15385409
13141500,6/23/70,177,1970,6,23,5.012264692
13141500,6/24/70,169,1970,6,24,4.785721655
13141500,6/25/70,158,1970,6,25,4.474224979
13141500,6/26/70,142,1970,6,26,4.021138905
13141500,6/27/70,131,1970,6,27,3.70964223
13141500,6/28/70,151,1970,6,28,4.275999822
13141500,6/29/70,164,1970,6,29,4.644132257
13141500,6/30/70,185,1970,6,30,5.238807729
13141500,7/1/70,182,1970,7,1,5.15385409
13141500,7/2/70,153,1970,7,2,4.332635581
13141500,7/3/70,131,1970,7,3,3.70964223
13141500,7/4/70,112,1970,7,4,3.171602517
13141500,7/5/70,93,1970,7,5,2.633562804
13141500,7/6/70,85,1970,7,6,2.407019767
13141500,7/7/70,78,1970,7,7,2.20879461
13141500,7/8/70,72,1970,7,8,2.038887332
13141500,7/9/70,68,1970,7,9,1.925615814
13141500,7/10/70,69,1970,7,10,1.953933693
13141500,7/11/70,85,1970,7,11,2.407019767
13141500,7/12/70,100,1970,7,12,2.831787962
13141500,7/13/70,90,1970,7,13,2.548609165
13141500,7/14/70,70,1970,7,14,1.982251573
13141500,7/15/70,60,1970,7,15,1.699072777
13141500,7/16/70,53,1970,7,16,1.50084762
13141500,7/17/70,47,1970,7,17,1.330940342
13141500,7/18/70,42,1970,7,18,1.189350944
13141500,7/19/70,36,1970,7,19,1.019443666
13141500,7/20/70,30,1970,7,20,0.849536388
13141500,7/21/70,28,1970,7,21,0.792900629
13141500,7/22/70,28,1970,7,22,0.792900629
13141500,7/23/70,25,1970,7,23,0.70794699
13141500,7/24/70,22,1970,7,24,0.622993352
13141500,7/25/70,20,1970,7,25,0.566357592
13141500,7/26/70,17,1970,7,26,0.481403953
13141500,7/27/70,15,1970,7,27,0.424768194
13141500,7/28/70,13,1970,7,28,0.368132435
13141500,7/29/70,11,1970,7,29,0.311496676
13141500,7/30/70,11,1970,7,30,0.311496676
13141500,7/31/70,11,1970,7,31,0.311496676
13141500,8/1/70,11,1970,8,1,0.311496676
13141500,8/2/70,10,1970,8,2,0.283178796
13141500,8/3/70,10,1970,8,3,0.283178796
13141500,8/4/70,10,1970,8,4,0.283178796
13141500,8/5/70,10,1970,8,5,0.283178796
13141500,8/6/70,9.3,1970,8,6,0.26335628
13141500,8/7/70,9.3,1970,8,7,0.26335628
13141500,8/8/70,7.4,1970,8,8,0.209552309
13141500,8/9/70,7.1,1970,8,9,0.201056945
13141500,8/10/70,8.6,1970,8,10,0.243533765
13141500,8/11/70,8.3,1970,8,11,0.235038401
13141500,8/12/70,7.4,1970,8,12,0.209552309
13141500,8/13/70,7.1,1970,8,13,0.201056945
13141500,8/14/70,6.8,1970,8,14,0.192561581
13141500,8/15/70,6.5,1970,8,15,0.184066218
13141500,8/16/70,6.5,1970,8,16,0.184066218
13141500,8/17/70,6.5,1970,8,17,0.184066218
13141500,8/18/70,6.5,1970,8,18,0.184066218
13141500,8/19/70,6.2,1970,8,19,0.175570854
13141500,8/20/70,6.2,1970,8,20,0.175570854
13141500,8/21/70,5.9,1970,8,21,0.16707549
13141500,8/22/70,5.7,1970,8,22,0.161411914
13141500,8/23/70,5.5,1970,8,23,0.155748338
13141500,8/24/70,5.2,1970,8,24,0.147252974
13141500,8/25/70,5.2,1970,8,25,0.147252974
13141500,8/26/70,5,1970,8,26,0.141589398
13141500,8/27/70,5,1970,8,27,0.141589398
13141500,8/28/70,5,1970,8,28,0.141589398
13141500,8/29/70,5,1970,8,29,0.141589398
13141500,8/30/70,5,1970,8,30,0.141589398
13141500,8/31/70,5.2,1970,8,31,0.147252974
13141500,9/1/70,5.5,1970,9,1,0.155748338
13141500,9/2/70,5.5,1970,9,2,0.155748338
13141500,9/3/70,5.5,1970,9,3,0.155748338
13141500,9/4/70,5.2,1970,9,4,0.147252974
13141500,9/5/70,5.2,1970,9,5,0.147252974
13141500,9/6/70,5.5,1970,9,6,0.155748338
13141500,9/7/70,5.7,1970,9,7,0.161411914
13141500,9/8/70,5.5,1970,9,8,0.155748338
13141500,9/9/70,5.5,1970,9,9,0.155748338
13141500,9/10/70,5.9,1970,9,10,0.16707549
13141500,9/11/70,5.9,1970,9,11,0.16707549
13141500,9/12/70,5.7,1970,9,12,0.161411914
13141500,9/13/70,6.2,1970,9,13,0.175570854
13141500,9/14/70,6.8,1970,9,14,0.192561581
13141500,9/15/70,7.4,1970,9,15,0.209552309
13141500,9/16/70,7.7,1970,9,16,0.218047673
13141500,9/17/70,7.7,1970,9,17,0.218047673
13141500,9/18/70,7.7,1970,9,18,0.218047673
13141500,9/19/70,8.9,1970,9,19,0.252029129
13141500,9/20/70,11,1970,9,20,0.311496676
13141500,9/21/70,11,1970,9,21,0.311496676
13141500,9/22/70,13,1970,9,22,0.368132435
13141500,9/23/70,12,1970,9,23,0.339814555
13141500,9/24/70,12,1970,9,24,0.339814555
13141500,9/25/70,12,1970,9,25,0.339814555
13141500,9/26/70,12,1970,9,26,0.339814555
13141500,9/27/70,12,1970,9,27,0.339814555
13141500,9/28/70,11,1970,9,28,0.311496676
13141500,9/29/70,8.6,1970,9,29,0.243533765
13141500,9/30/70,8,1970,9,30,0.226543037
13141500,10/1/70,7.8,1970,10,1,0.220879461
13141500,10/2/70,8.1,1970,10,2,0.229374825
13141500,10/3/70,8.1,1970,10,3,0.229374825
13141500,10/4/70,8.1,1970,10,4,0.229374825
13141500,10/5/70,9,1970,10,5,0.254860917
13141500,10/6/70,11,1970,10,6,0.311496676
13141500,10/7/70,12,1970,10,7,0.339814555
13141500,10/8/70,12,1970,10,8,0.339814555
13141500,10/9/70,12,1970,10,9,0.339814555
13141500,10/10/70,13,1970,10,10,0.368132435
13141500,10/11/70,13,1970,10,11,0.368132435
13141500,10/12/70,14,1970,10,12,0.396450315
13141500,10/13/70,14,1970,10,13,0.396450315
13141500,10/14/70,13,1970,10,14,0.368132435
13141500,10/15/70,15,1970,10,15,0.424768194
13141500,10/16/70,15,1970,10,16,0.424768194
13141500,10/17/70,14,1970,10,17,0.396450315
13141500,10/18/70,15,1970,10,18,0.424768194
13141500,10/19/70,15,1970,10,19,0.424768194
13141500,10/20/70,15,1970,10,20,0.424768194
13141500,10/21/70,16,1970,10,21,0.453086074
13141500,10/22/70,17,1970,10,22,0.481403953
13141500,10/23/70,20,1970,10,23,0.566357592
13141500,10/24/70,25,1970,10,24,0.70794699
13141500,10/25/70,25,1970,10,25,0.70794699
13141500,10/26/70,25,1970,10,26,0.70794699
13141500,10/27/70,23,1970,10,27,0.651311231
13141500,10/28/70,21,1970,10,28,0.594675472
13141500,10/29/70,20,1970,10,29,0.566357592
13141500,10/30/70,20,1970,10,30,0.566357592
13141500,10/31/70,21,1970,10,31,0.594675472
13141500,11/1/70,23,1970,11,1,0.651311231
13141500,11/2/70,23,1970,11,2,0.651311231
13141500,11/3/70,23,1970,11,3,0.651311231
13141500,11/4/70,23,1970,11,4,0.651311231
13141500,11/5/70,24,1970,11,5,0.679629111
13141500,11/6/70,27,1970,11,6,0.76458275
13141500,11/7/70,29,1970,11,7,0.821218509
13141500,11/8/70,31,1970,11,8,0.877854268
13141500,11/9/70,33,1970,11,9,0.934490027
13141500,11/10/70,38,1970,11,10,1.076079425
13141500,11/11/70,41,1970,11,11,1.161033064
13141500,11/12/70,42,1970,11,12,1.189350944
13141500,11/13/70,40,1970,11,13,1.132715185
13141500,11/14/70,36,1970,11,14,1.019443666
13141500,11/15/70,33,1970,11,15,0.934490027
13141500,11/16/70,31,1970,11,16,0.877854268
13141500,11/17/70,31,1970,11,17,0.877854268
13141500,11/18/70,33,1970,11,18,0.934490027
13141500,11/19/70,29,1970,11,19,0.821218509
13141500,11/20/70,33,1970,11,20,0.934490027
13141500,11/21/70,25,1970,11,21,0.70794699
13141500,11/22/70,27,1970,11,22,0.76458275
13141500,11/23/70,30,1970,11,23,0.849536388
13141500,11/24/70,54,1970,11,24,1.529165499
13141500,11/25/70,122,1970,11,25,3.454781313
13141500,11/26/70,209,1970,11,26,5.91843684
13141500,11/27/70,149,1970,11,27,4.219364063
13141500,11/28/70,105,1970,11,28,2.97337736
13141500,11/29/70,96,1970,11,29,2.718516443
13141500,11/30/70,120,1970,11,30,3.398145554
13141500,12/1/70,110,1970,12,1,3.114966758
13141500,12/2/70,94,1970,12,2,2.661880684
13141500,12/3/70,57,1970,12,3,1.614119138
13141500,12/4/70,73,1970,12,4,2.067205212
13141500,12/5/70,84,1970,12,5,2.378701888
13141500,12/6/70,82,1970,12,6,2.322066128
13141500,12/7/70,88,1970,12,7,2.491973406
13141500,12/8/70,96,1970,12,8,2.718516443
13141500,12/9/70,96,1970,12,9,2.718516443
13141500,12/10/70,68,1970,12,10,1.925615814
13141500,12/11/70,68,1970,12,11,1.925615814
13141500,12/12/70,50,1970,12,12,1.415893981
13141500,12/13/70,49,1970,12,13,1.387576101
13141500,12/14/70,47,1970,12,14,1.330940342
13141500,12/15/70,45,1970,12,15,1.274304583
13141500,12/16/70,47,1970,12,16,1.330940342
13141500,12/17/70,47,1970,12,17,1.330940342
13141500,12/18/70,45,1970,12,18,1.274304583
13141500,12/19/70,42,1970,12,19,1.189350944
13141500,12/20/70,43,1970,12,20,1.217668823
13141500,12/21/70,48,1970,12,21,1.359258222
13141500,12/22/70,45,1970,12,22,1.274304583
13141500,12/23/70,40,1970,12,23,1.132715185
13141500,12/24/70,41,1970,12,24,1.161033064
13141500,12/25/70,41,1970,12,25,1.161033064
13141500,12/26/70,36,1970,12,26,1.019443666
13141500,12/27/70,36,1970,12,27,1.019443666
13141500,12/28/70,37,1970,12,28,1.047761546
13141500,12/29/70,37,1970,12,29,1.047761546
13141500,12/30/70,38,1970,12,30,1.076079425
13141500,12/31/70,39,1970,12,31,1.104397305
13141500,1/1/71,37,1971,1,1,1.047761546
13141500,1/2/71,35,1971,1,2,0.991125787
13141500,1/3/71,37,1971,1,3,1.047761546
13141500,1/4/71,37,1971,1,4,1.047761546
13141500,1/5/71,35,1971,1,5,0.991125787
13141500,1/6/71,33,1971,1,6,0.934490027
13141500,1/7/71,33,1971,1,7,0.934490027
13141500,1/8/71,33,1971,1,8,0.934490027
13141500,1/9/71,35,1971,1,9,0.991125787
13141500,1/10/71,37,1971,1,10,1.047761546
13141500,1/11/71,39,1971,1,11,1.104397305
13141500,1/12/71,39,1971,1,12,1.104397305
13141500,1/13/71,38,1971,1,13,1.076079425
13141500,1/14/71,42,1971,1,14,1.189350944
13141500,1/15/71,39,1971,1,15,1.104397305
13141500,1/16/71,35,1971,1,16,0.991125787
13141500,1/17/71,40,1971,1,17,1.132715185
13141500,1/18/71,51,1971,1,18,1.44421186
13141500,1/19/71,63,1971,1,19,1.784026416
13141500,1/20/71,82,1971,1,20,2.322066128
13141500,1/21/71,82,1971,1,21,2.322066128
13141500,1/22/71,86,1971,1,22,2.435337647
13141500,1/23/71,86,1971,1,23,2.435337647
13141500,1/24/71,84,1971,1,24,2.378701888
13141500,1/25/71,88,1971,1,25,2.491973406
13141500,1/26/71,94,1971,1,26,2.661880684
13141500,1/27/71,100,1971,1,27,2.831787962
13141500,1/28/71,98,1971,1,28,2.775152202
13141500,1/29/71,98,1971,1,29,2.775152202
13141500,1/30/71,100,1971,1,30,2.831787962
13141500,1/31/71,105,1971,1,31,2.97337736
13141500,2/1/71,124,1971,2,1,3.511417072
13141500,2/2/71,152,1971,2,2,4.304317702
13141500,2/3/71,164,1971,2,3,4.644132257
13141500,2/4/71,179,1971,2,4,5.068900451
13141500,2/5/71,164,1971,2,5,4.644132257
13141500,2/6/71,161,1971,2,6,4.559178618
13141500,2/7/71,152,1971,2,7,4.304317702
13141500,2/8/71,143,1971,2,8,4.049456785
13141500,2/9/71,136,1971,2,9,3.851231628
13141500,2/10/71,138,1971,2,10,3.907867387
13141500,2/11/71,141,1971,2,11,3.992821026
13141500,2/12/71,154,1971,2,12,4.360953461
13141500,2/13/71,179,1971,2,13,5.068900451
13141500,2/14/71,218,1971,2,14,6.173297756
13141500,2/15/71,275,1971,2,15,7.787416894
13141500,2/16/71,309,1971,2,16,8.750224801
13141500,2/17/71,347,1971,2,17,9.826304227
13141500,2/18/71,358,1971,2,18,10.1378009
13141500,2/19/71,358,1971,2,19,10.1378009
13141500,2/20/71,340,1971,2,20,9.628079069
13141500,2/21/71,330,1971,2,21,9.344900273
13141500,2/22/71,315,1971,2,22,8.920132079
13141500,2/23/71,300,1971,2,23,8.495363885
13141500,2/24/71,282,1971,2,24,7.985642052
13141500,2/25/71,264,1971,2,25,7.475920219
13141500,2/26/71,250,1971,2,26,7.079469904
13141500,2/27/71,236,1971,2,27,6.683019589
13141500,2/28/71,220,1971,2,28,6.229933515
13141500,3/1/71,204,1971,3,1,5.776847442
13141500,3/2/71,188,1971,3,2,5.323761368
13141500,3/3/71,172,1971,3,3,4.870675294
13141500,3/4/71,174,1971,3,4,4.927311053
13141500,3/5/71,192,1971,3,5,5.437032886
13141500,3/6/71,180,1971,3,6,5.097218331
13141500,3/7/71,168,1971,3,7,4.757403775
13141500,3/8/71,164,1971,3,8,4.644132257
13141500,3/9/71,176,1971,3,9,4.983946812
13141500,3/10/71,190,1971,3,10,5.380397127
13141500,3/11/71,210,1971,3,11,5.946754719
13141500,3/12/71,230,1971,3,12,6.513112312
13141500,3/13/71,260,1971,3,13,7.3626487
13141500,3/14/71,240,1971,3,14,6.796291108
13141500,3/15/71,232,1971,3,15,6.569748071
13141500,3/16/71,230,1971,3,16,6.513112312
13141500,3/17/71,221,1971,3,17,6.258251395
13141500,3/18/71,221,1971,3,18,6.258251395
13141500,3/19/71,212,1971,3,19,6.003390479
13141500,3/20/71,224,1971,3,20,6.343205034
13141500,3/21/71,221,1971,3,21,6.258251395
13141500,3/22/71,272,1971,3,22,7.702463255
13141500,3/23/71,333,1971,3,23,9.429853912
13141500,3/24/71,445,1971,3,24,12.60145643
13141500,3/25/71,585,1971,3,25,16.56595958
13141500,3/26/71,1100,1971,3,26,31.14966758
13141500,3/27/71,1400,1971,3,27,39.64503146
13141500,3/28/71,1600,1971,3,28,45.30860739
13141500,3/29/71,1800,1971,3,29,50.97218331
13141500,3/30/71,2050,1971,3,30,58.05165321
13141500,3/31/71,2300,1971,3,31,65.13112312
13141500,4/1/71,2350,1971,4,1,66.5470171
13141500,4/2/71,2630,1971,4,2,74.47602339
13141500,4/3/71,2650,1971,4,3,75.04238098
13141500,4/4/71,2970,1971,4,4,84.10410246
13141500,4/5/71,3540,1971,4,5,100.2452938
13141500,4/6/71,4460,1971,4,6,126.2977431
13141500,4/7/71,5150,1971,4,7,145.83708
